idno,essround,male,age,edu,eth_major,income_10,cntry,vote,country,p5,cyear,ccode,scode,year,flag,fragment,democ,autoc
10160,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
10334,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
502890,2010,0,15,1,1,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
502496,2010,0,15,1,1,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
1463,2010,0,15,1,1,NA,PL,3,Poland,0,2902010,290,POL,2010,0,0,10,0
21545500,2010,0,15,1,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
209642,2010,0,15,1,1,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
60,2010,0,15,1,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
291,2010,0,15,1,1,NA,PT,2,Portugal,0,2352010,235,POR,2010,0,0,10,0
15310426,2010,0,15,1,1,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
2300,2010,0,15,1,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
105248,2010,0,15,1,1,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
12544,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
200001893,2010,0,15,1,1,NA,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
2100,2010,0,15,1,1,NA,PT,3,Portugal,0,2352010,235,POR,2010,0,0,10,0
201903,2010,0,15,1,NA,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
17853,2010,0,15,2,0,1,IE,2,Ireland,0,2052010,205,IRE,2010,0,0,10,0
117402,2010,0,15,2,1,1,SK,3,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,2010,0,15,2,1,1,EE,3,Estonia,1,3662010,366,EST,2010,0,0,9,0
406,2010,0,15,2,1,1,UA,3,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
587,2010,0,15,2,1,2,IL,3,Israel,0,6662010,666,ISR,2010,0,3,7,1
2434,2010,0,15,2,1,2,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
1778,2010,0,15,2,1,2,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
21062,2010,0,15,2,1,2,IE,2,Ireland,0,2052010,205,IRE,2010,0,0,10,0
392015,2010,0,15,2,0,3,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
429,2010,0,15,2,0,3,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
9611,2010,0,15,2,1,3,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
19,2010,0,15,2,1,3,SI,3,Slovenia,0,3492010,349,SLV,2010,0,0,10,0
1025,2010,0,15,2,1,3,SI,3,Slovenia,0,3492010,349,SLV,2010,0,0,10,0
754,2010,0,15,2,1,3,BG,3,Bulgaria,1,3552010,355,BUL,2010,0,0,9,0
16609,2010,0,15,2,1,3,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
2352,2010,0,15,2,1,4,HR,3,Croatia,1,3442010,344,CRO,2010,0,0,9,0
1261,2010,0,15,2,1,4,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
7521,2010,0,15,2,1,4,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
933,2010,0,15,2,1,4,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
182,2010,0,15,2,NA,4,LT,2,Lithuania,0,3682010,368,LIT,2010,0,0,10,0
3622,2010,0,15,2,0,5,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598,2010,0,15,2,1,5,HR,2,Croatia,1,3442010,344,CRO,2010,0,0,9,0
1610,2010,0,15,2,1,5,FR,3,France,1,2202010,220,FRN,2010,0,0,10,0
2805,2010,0,15,2,1,5,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
3302,2010,0,15,2,1,5,CH,3,Switzerland,0,2252010,225,SWZ,2010,0,0,10,0
92,2010,0,15,2,1,5,HR,3,Croatia,1,3442010,344,CRO,2010,0,0,9,0
21563000,2010,0,15,2,1,5,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
32544930,2010,0,15,2,NA,5,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
914,2010,0,15,2,1,6,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
2834,2010,0,15,2,NA,6,IL,2,Israel,0,6662010,666,ISR,2010,0,3,7,1
1433,2010,0,15,2,1,7,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
121105,2010,0,15,2,1,7,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
67,2010,0,15,2,1,7,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
1667,2010,0,15,2,1,7,UA,3,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
169,2010,0,15,2,1,7,UA,2,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
135603,2010,0,15,2,1,7,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
106,2010,0,15,2,1,8,HR,3,Croatia,1,3442010,344,CRO,2010,0,0,9,0
1489,2010,0,15,2,1,8,HR,3,Croatia,1,3442010,344,CRO,2010,0,0,9,0
217559,2010,0,15,2,1,8,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
2050,2010,0,15,2,1,8,EE,2,Estonia,1,3662010,366,EST,2010,0,0,9,0
21025,2010,0,15,2,1,8,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
1837,2010,0,15,2,0,9,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
168,2010,0,15,2,1,9,NO,2,Norway,0,3852010,385,NOR,2010,0,0,10,0
300002838,2010,0,15,2,1,9,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
16913702,2010,0,15,2,1,9,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
2264,2010,0,15,2,1,9,EE,2,Estonia,1,3662010,366,EST,2010,0,0,9,0
1249,2010,0,15,2,1,9,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
110408,2010,0,15,2,1,10,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
792,2010,0,15,2,1,10,SI,2,Slovenia,0,3492010,349,SLV,2010,0,0,10,0
100000187,2010,0,15,2,1,10,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
348,2010,0,15,2,1,10,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
153,2010,0,15,2,1,10,UA,2,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
6609,2010,0,15,2,0,NA,GR,2,Greece,0,3502010,350,GRC,2010,0,0,10,0
2747,2010,0,15,2,0,NA,IL,2,Israel,0,6662010,666,ISR,2010,0,3,7,1
25831540,2010,0,15,2,0,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
2243,2010,0,15,2,0,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
5000,2010,0,15,2,0,NA,IL,3,Israel,0,6662010,666,ISR,2010,0,3,7,1
3769,2010,0,15,2,0,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
23422,2010,0,15,2,1,NA,IE,2,Ireland,0,2052010,205,IRE,2010,0,0,10,0
869,2010,0,15,2,1,NA,NO,2,Norway,0,3852010,385,NOR,2010,0,0,10,0
4991,2010,0,15,2,1,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
129609,2010,0,15,2,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
28727,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
19384,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
